Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,27,31,30,31,29,29,31,30,31,19,31
2021,31,28,31,21,28,30,30,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,29,31,30,31,31,30,31,30,31
2018,29,28,31,25,25,29,30,29,24,31,30,31
2017,31,28,31,30,29,30,12,27,30,31,30,31
2016,NA,NA,NA,NA,NA,6,31,31,26,31,30,28
