Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
2019,31,27,31,29,30,17,22,31,30,27,1,NA
2018,31,27,31,29,30,27,31,31,30,31,30,31
2017,NA,NA,NA,5,23,27,30,28,30,31,30,31
