Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,29,28,29,27,NA,NA,NA,NA,NA,NA,NA,NA
2022,27,10,NA,3,16,6,NA,2,15,20,27,26
2021,31,28,12,22,26,23,18,14,16,17,25,25
2020,31,27,31,30,31,30,29,30,6,NA,18,29
2019,31,28,29,30,30,4,19,31,30,29,30,31
2018,27,27,31,21,11,9,30,31,9,28,26,27
2017,NA,NA,NA,11,31,29,22,22,5,20,18,11
