state,city,site_id,model_name,rmse,adj_r2
Karnataka,Belgaum,site_5432,arima,14.525141323529065,-1.4273264900716023
Karnataka,Mangalore,site_5421,arima,35.60559766275071,-1.3893837750019422
Karnataka,Mysuru,site_5125,arima,8.06592313122294,-0.039327000838344395
Karnataka,Chikkamagaluru,site_5265,arima,14.38192110853955,-0.21384494374069285
Karnataka,Shivamogga,site_5266,arima,4.692986137272771,-0.13744059124214436
Karnataka,Vijayapura,site_5267,arima,5.258206653252226,-1.9876244023364849
Karnataka,Ramanagara,site_5255,arima,25.877754229875748,-0.5635375739790667
Karnataka,Bengaluru,site_5686,arima,15.035047583401909,-0.3872988963056003
Karnataka,Madikeri,site_5391,arima,12.951498443770104,-0.7990105482291072
Karnataka,Haveri,site_5420,arima,18.454623050759817,-0.11835863977436145
Karnataka,Bengaluru,site_1558,arima,25.86785725310041,-0.05487999841298774
Karnataka,Hassan,site_5448,arima,24.41700831112797,-0.8426447644119699
Karnataka,Koppal,site_5415,arima,35.280943827945826,-5.254980002537919
Karnataka,Bagalkot,site_5264,arima,4.287589139049069,-0.24346062946384528
Karnataka,Gadag,site_5419,arima,59.153475608346916,-0.03133356069454063
Karnataka,Chamarajanagar,site_5124,arima,6.466890027059986,-0.5265714695049486
Karnataka,Bengaluru,site_5678,arima,33.508093571212115,-0.06755255349070333
Karnataka,Raichur,site_5414,arima,19.04602528859115,-0.6186818296617205
Karnataka,Bengaluru,site_1553,arima,68.8318885223021,-0.0031220797321747096
Karnataka,Kalaburagi,site_5679,arima,40.339806269327376,-0.08492481689207154
Karnataka,Yadgir,site_5254,arima,31.549191258367742,-1.5009661099790432
Karnataka,Bengaluru,site_1555,arima,20.175214980296307,-0.943419411479788
Karnataka,Chikkaballapur,site_1557,arima,24.19229953952913,-0.010140762904017553
Karnataka,Hubballi,site_5680,arima,19.342795653069686,-0.10789642309825975
Karnataka,Bengaluru,site_1556,arima,86.2827831160546,-0.008301079185262461
Punjab,Mandi Gobindgarh,site_255,arima,62.78774606083019,-0.03525184586430319
Punjab,Patiala,site_1437,arima,29.818259249999727,-0.21120542510203855
Punjab,Ludhiana,site_253,arima,44.75661038375111,-0.13611878465216876
Punjab,Khanna,site_1450,arima,36.42503435760333,-0.18018423881595558
Odisha,Brajrajnagar,site_1410,arima,24.311060417708802,-1.0089406153457379
Odisha,Talcher,site_1408,arima,36.42111307396071,-0.06090179985694233
Bihar,Chhapra,site_5545,arima,129.74139240959414,-1.111367442214704
Bihar,Bhagalpur,site_5541,arima,126.698104493158,-1.395051723186325
Bihar,Aurangabad,site_5544,arima,68.84011938206456,-1.0374380774769927
Bihar,Patna,site_5263,arima,132.83694843280665,-0.6029963057964671
Bihar,Rajgir,site_5489,arima,118.0415296856334,-0.6348100490076978
Bihar,Bihar Sharif,site_5481,arima,204.03771696825632,-3.0386539041185996
Bihar,Hajipur,site_5337,arima,78.35161080619436,-0.9448429441363235
Bihar,Motihari,site_5478,arima,41.304511607300334,-1.6896578617903626
Bihar,Patna,site_5336,arima,106.68372130225305,-1.1081426471863183
Bihar,Bhagalpur,site_5543,arima,98.53201753447372,-0.24177087075230763
Bihar,Manguraha,site_5550,arima,41.648400141428645,-0.01120899919224283
Bihar,Bettiah,site_5476,arima,129.405598718155,-0.2228495791886036
Bihar,Purnia,site_5549,arima,237.00366240319073,-4.259259141702234
Bihar,Gaya,site_5338,arima,47.46456643339972,-0.9867958435865263
Bihar,Muzaffarpur,site_158,arima,101.95677929526178,-1.0778884583475925
Bihar,Patna,site_5262,arima,104.46156556119742,-0.8409530830594558
Bihar,Darbhanga,site_5477,arima,177.5002717956602,-1.900620458586117
Bihar,Gaya,site_5548,arima,178.28158911437083,-1.8516647869719054
Bihar,Sasaram,site_5485,arima,139.0218282775913,-3.427848314303265
Bihar,Munger,site_5490,arima,103.94934435661278,-0.8851572689192615
Bihar,Buxar,site_5542,arima,130.88639256436272,-0.5346097960412017
Bihar,Begusarai,site_5540,arima,180.19741728943455,-0.215102655960967
Bihar,Muzaffarpur,site_5370,arima,127.78149069998653,-0.9417585584231294
Bihar,Saharsa,site_5551,arima,126.40934139528997,-0.6322001291465429
Bihar,Patna,site_5335,arima,100.45595364912197,-1.1606587980850107
Bihar,Kishanganj,site_5547,arima,76.99221298319478,-0.01974066743089198
Bihar,Araria,site_5539,arima,245.92676613925713,-7.864074348151867
Bihar,Patna,site_157,arima,159.614814128819,-3.636631927614169
Bihar,Siwan,site_5553,arima,140.99508174961798,-0.9415492837304764
Bihar,Samastipur,site_5552,arima,105.19136592726305,-0.6365207752025543
Bihar,Muzaffarpur,site_5479,arima,64.29142617099626,-0.07139626832126589
Bihar,Patna,site_5261,arima,123.66232695464132,-0.9237192378602446
Bihar,Katihar,site_5546,arima,110.7738114820176,-0.023036006885883697
Bihar,Arrah,site_5538,arima,73.71015129740977,-0.08415179951209262
Rajasthan,Jhunjhunu,site_5717,arima,19.403193952118123,-0.4167871742138043
Rajasthan,Jodhpur,site_136,arima,49.02164760323382,-0.06492340310942746
Rajasthan,Bhiwadi,site_1391,arima,64.62887115039914,-0.25612795493889906
Rajasthan,Jodhpur,site_5720,arima,30.54708950391263,-0.2711608755913397
Rajasthan,Dausa,site_5713,arima,20.25101444317702,-0.4563492861370384
Rajasthan,Pali,site_1395,arima,33.53508436920701,-0.3641375872116659
Rajasthan,Pratapgarh,site_5721,arima,7.8233766142190015,-0.6161100887292659
Rajasthan,Alwar,site_1390,arima,23.2074364785804,-0.13919252199026388
Rajasthan,Jhalawar,site_5724,arima,12.757789851929589,-0.23050502004468143
Rajasthan,Jodhpur,site_5694,arima,14.904451391724901,-0.09210505177480988
Rajasthan,Sirohi,site_5705,arima,22.906327163146557,-4.822813712746484
Rajasthan,Karauli,site_5723,arima,14.895385948398536,-0.8010845729615141
Rajasthan,Ajmer,site_1392,arima,30.93373035605055,-0.00619494137827914
Rajasthan,Sri Ganganagar,site_5719,arima,47.439788051963404,-0.46243008112885375
Rajasthan,Kota,site_5707,arima,30.008229353242218,-0.07995918537159863
Rajasthan,Bikaner,site_5696,arima,23.75881036061987,0.02731910415806249
Rajasthan,Kota,site_5701,arima,23.801659036184482,-0.888199249004731
Rajasthan,Sikar,site_5722,arima,18.64322076560369,-0.15915870511978758
Rajasthan,Kota,site_1394,arima,40.22418085329475,-0.05588454877115967
Rajasthan,Barmer,site_5714,arima,9.099145221081892,-0.1437648224453818
Rajasthan,Bharatpur,site_5695,arima,35.539575958168754,-0.33682342617555694
Rajasthan,Churu,site_5699,arima,23.64673249227107,-0.8316003924996611
Rajasthan,Dholpur,site_5700,arima,35.037399574643075,-0.5980762713573515
Rajasthan,Rajsamand,site_5718,arima,13.75017875118031,-0.33694492270691034
Rajasthan,Jaipur,site_1393,arima,35.95215943692282,-0.10571727253000862
Rajasthan,Jaipur,site_134,arima,51.6471638079531,-0.05304519668390406
Rajasthan,Jaipur,site_1396,arima,33.20041249993358,-0.14403851498373554
Rajasthan,Udaipur,site_1397,arima,31.565450622784144,-0.06505386602732055
Uttar Pradesh,Agra,site_5463,arima,63.28601433617209,-4.923932202680263
Uttar Pradesh,Lucknow,site_297,arima,77.31952051724825,-0.08713023605763914
Uttar Pradesh,Firozabad,site_5480,arima,36.82701961905599,-0.28602939694501917
Uttar Pradesh,Varanasi,site_5469,arima,30.54885641953207,-0.5099605335276307
Uttar Pradesh,Ghaziabad,site_5081,arima,131.1545593626759,-0.6285920989694935
Uttar Pradesh,Baghpat,site_1569,arima,105.71095221857769,-0.2789720785534342
Uttar Pradesh,Meerut,site_5258,arima,130.04442034378476,-1.0943615903446031
Uttar Pradesh,Agra,site_5465,arima,74.57161230015518,-2.31664387892131
Uttar Pradesh,Lucknow,site_5128,arima,61.44630688499338,-0.7932696033139024
Uttar Pradesh,Agra,site_5501,arima,41.08306814755843,-1.8875003279434237
Uttar Pradesh,Moradabad,site_5556,arima,43.04141325939668,-0.19882571016374317
Uttar Pradesh,Moradabad,site_1398,arima,80.60989229555136,-0.386370214532749
Uttar Pradesh,Lucknow,site_272,arima,50.07127905277856,-0.037093413671042796
Uttar Pradesh,Varanasi,site_273,arima,65.97697417595934,-0.38028589736756224
Uttar Pradesh,Varanasi,site_5468,arima,38.23861002020118,-2.5815006018687425
Uttar Pradesh,Noida,site_153,arima,87.54466572608364,-0.08376533918384821
Uttar Pradesh,Prayagraj,site_5484,arima,25.321135397777102,-0.027691758007643674
Uttar Pradesh,Gorakhpur,site_5472,arima,29.026098016020033,-0.9184327861107704
Uttar Pradesh,Prayagraj,site_5459,arima,28.680760798509922,-0.4239143844611928
Uttar Pradesh,Lucknow,site_5462,arima,25.97802833346078,-0.23170363643123038
Uttar Pradesh,Jhansi,site_5583,arima,26.981795976262088,-0.14652720972526656
Uttar Pradesh,Greater Noida,site_5121,arima,114.49683399174536,-0.5501371801249781
Uttar Pradesh,Vrindavan,site_5483,arima,32.581467308160775,-0.027885818303857723
Uttar Pradesh,Agra,site_307,arima,81.55768954066384,-0.08649306660818668
Uttar Pradesh,Moradabad,site_5554,arima,25.607019864791795,-0.6757445416782732
Uttar Pradesh,Kanpur,site_276,arima,73.0836201748532,-0.19342058072038482
Uttar Pradesh,Muzaffarnagar,site_1550,arima,79.59539847800676,-0.01512993571373511
Uttar Pradesh,Ghaziabad,site_144,arima,91.9047176823128,-0.05263515574911537
Uttar Pradesh,Moradabad,site_5555,arima,34.73089364362977,-1.0484459216050341
Uttar Pradesh,Varanasi,site_5475,arima,59.06825304883946,-4.0728656549863524
Uttar Pradesh,Greater Noida,site_1541,arima,95.2153119367797,-0.33308125466109306
Uttar Pradesh,Lucknow,site_277,arima,56.53506535245305,-0.011053384625751672
Uttar Pradesh,Ghaziabad,site_5082,arima,134.74400669403343,-0.7461827206141218
Uttar Pradesh,Noida,site_5123,arima,139.51679900049174,-1.0010077799010846
Uttar Pradesh,Noida,site_5122,arima,143.2795823110516,-0.7724617030283891
Uttar Pradesh,Bulandshahr,site_1542,arima,93.68408379142544,-0.19891809411262384
Uttar Pradesh,Meerut,site_5257,arima,140.35930640846377,-1.453923442511976
Uttar Pradesh,Moradabad,site_5537,arima,36.720503279201914,-0.46371520600306404
Uttar Pradesh,Agra,site_5464,arima,36.137306167337044,-0.13200525451724054
Uttar Pradesh,Hapur,site_5023,arima,131.8522044494399,-1.0155614522524106
Uttar Pradesh,Meerut,site_5109,arima,103.54539498799119,-0.20487309691037936
Uttar Pradesh,Agra,site_5482,arima,22.06257351607573,-0.18074611418796294
Uttar Pradesh,Ghaziabad,site_5083,arima,204.96871271108083,-0.7472040627562937
West Bengal,Asansol,site_1418,arima,56.874617378355204,-0.26062441441310247
Jammu and Kashmir,Srinagar,site_5424,arima,30.866235253893947,-0.38577643238019843
Telangana,Hyderabad,site_5596,arima,11.680055075506917,-0.3543522078920589
