state,city,site_id,model_name,rmse,adj_r2
Bihar,Patna,site_5262,svr,29.09716818524839,0.8061278401446854
Rajasthan,Kota,site_5707,svr,27.718101156152937,0.634967164744936
Uttar Pradesh,Noida,site_5122,svr,55.14696472495375,0.7331308531535786
Maharashtra,Pune,site_292,svr,49.01920977913494,0.47943428580353475
Maharashtra,Mumbai,site_5394,svr,34.870396894493524,0.7864409432150379
Tamil Nadu,Chennai,site_5363,svr,18.424674345064727,0.5842995005620081
Madhya Pradesh,Bhopal,site_5247,svr,22.06919404077692,0.6934707574239147
Delhi,Delhi,site_1562,svr,37.1030881765891,0.7934550896550809
Delhi,Delhi,site_114,svr,193.37201252095608,0.08441251420827534
