state,city,site_id,rmse,adj_r2
Karnataka,Belgaum,site_5432,11.655270824094952,0.8611544031183772
Karnataka,Mangalore,site_5421,10.13111587692781,0.7644927284830016
Karnataka,Mysuru,site_5125,4.653303813083145,0.8166953162269709
Karnataka,Chikkamagaluru,site_5265,6.259855454074453,0.7679281696931979
Karnataka,Shivamogga,site_5266,9.126932834306936,0.726575936229849
Karnataka,Vijayapura,site_5267,5.476872972805242,0.8079838596090105
Karnataka,Ramanagara,site_5255,6.177914357661119,0.8907902988653266
Karnataka,Bengaluru,site_5686,6.933853562001188,0.8160869787371
Karnataka,Madikeri,site_5391,3.3616214739145396,0.9333402238705616
Karnataka,Haveri,site_5420,7.752825695903953,0.8938743231020485
Karnataka,Bengaluru,site_1558,9.046416898258538,0.8345751711670351
Karnataka,Hassan,site_5448,8.243436413875513,0.7682425431599946
Karnataka,Koppal,site_5415,6.148031500000669,0.8655334725302991
Karnataka,Bagalkot,site_5264,23.46291768604635,0.46201119389064116
Karnataka,Gadag,site_5419,78.11537429657116,0.37128958602483486
Karnataka,Chamarajanagar,site_5124,6.514649673682708,0.7529922449518117
Karnataka,Bengaluru,site_5678,15.863924614686843,0.7305047634294133
Karnataka,Raichur,site_5414,8.650964855969578,0.859475443115786
Karnataka,Bengaluru,site_1553,22.89154677504217,0.6103348085522424
Karnataka,Kalaburagi,site_5679,8.846532791781614,0.9212057885627012
Karnataka,Yadgir,site_5254,10.19259738342113,0.7686803999610601
Karnataka,Bengaluru,site_1555,11.908473415996058,0.6640918822003155
Karnataka,Chikkaballapur,site_1557,10.347628179332578,0.7924285776897917
Karnataka,Hubballi,site_5680,16.73893285714245,0.5497924511093735
Karnataka,Bengaluru,site_1556,30.590715332182697,0.6108456310438037
Punjab,Mandi Gobindgarh,site_255,33.31206935286517,0.7647304479406973
Punjab,Patiala,site_1437,18.31347672552426,0.7857283198001309
Punjab,Ludhiana,site_253,28.787106937556015,0.6428727537082028
Punjab,Khanna,site_1450,12.339148200968753,0.8756732879824775
Odisha,Brajrajnagar,site_1410,17.39769152304077,0.8485918203276015
Odisha,Talcher,site_1408,22.143690673096312,0.8078914008796397
Bihar,Chhapra,site_5545,23.53316463396188,0.9264469697584694
Bihar,Bhagalpur,site_5541,20.15072506089237,0.9218079015910348
Bihar,Aurangabad,site_5544,16.1174648059277,0.917453504698796
Bihar,Patna,site_5263,32.3279383529243,0.8188692825914307
Bihar,Rajgir,site_5489,20.581152997789502,0.9297778934787713
Bihar,Bihar Sharif,site_5481,24.490355548514877,0.914871823409321
Bihar,Hajipur,site_5337,26.57873257844666,0.7350878571684951
Bihar,Motihari,site_5478,25.414058259205564,0.9039846968633976
Bihar,Patna,site_5336,28.631319664675228,0.8420770977868648
Bihar,Bhagalpur,site_5543,17.94640710405112,0.9457361564859769
Bihar,Manguraha,site_5550,14.606625292268237,0.8963158597714858
Bihar,Bettiah,site_5476,38.45857810022669,0.881181260710667
Bihar,Purnia,site_5549,27.057771992123307,0.9224915557234393
Bihar,Gaya,site_5338,20.19619730993589,0.6200459606289447
Bihar,Muzaffarpur,site_158,56.20368403009727,0.781578959680283
Bihar,Patna,site_5262,20.08179462259818,0.907653797180898
Bihar,Darbhanga,site_5477,23.971591024242137,0.9390717588247908
Bihar,Gaya,site_5548,33.93036785068066,0.8553387635959117
Bihar,Sasaram,site_5485,15.091351255336658,0.9458423762653846
Bihar,Munger,site_5490,35.02906531907429,0.8371673010988723
Bihar,Buxar,site_5542,30.187817669724293,0.8615883119834273
Bihar,Begusarai,site_5540,46.77794539392303,0.9148253153555256
Bihar,Muzaffarpur,site_5370,17.37888776846858,0.9339635879402447
Bihar,Saharsa,site_5551,35.09292135489891,0.8494459509521217
Bihar,Patna,site_5335,22.199989986461183,0.8546605363505937
