state,city,site_id,model_name,rmse,adj_r2
Karnataka,Belgaum,site_5432,svr,20.489293033041527,0.5709169880383158
Karnataka,Mangalore,site_5421,svr,17.70779663674366,0.28051986587876443
Karnataka,Mysuru,site_5125,svr,7.156709868993037,0.5664116866175368
Karnataka,Chikkamagaluru,site_5265,svr,9.376714207838695,0.47929088973220446
Karnataka,Shivamogga,site_5266,svr,13.301590428799514,0.41924338239091674
Karnataka,Vijayapura,site_5267,svr,9.6799830693186,0.4001790991047811
Karnataka,Ramanagara,site_5255,svr,8.126888626317514,0.8110155514680737
Karnataka,Bengaluru,site_5686,svr,16.034165696295958,0.016541852610173824
Karnataka,Madikeri,site_5391,svr,4.756978155245333,0.8665162047046114
Karnataka,Haveri,site_5420,svr,11.042860159764604,0.7846903086222147
Karnataka,Bengaluru,site_1558,svr,14.12896809175432,0.5964769137335988
Karnataka,Hassan,site_5448,svr,11.492463728277833,0.5495532940416527
Karnataka,Koppal,site_5415,svr,10.967667125070415,0.5720721582113997
Karnataka,Bagalkot,site_5264,svr,29.372229242546997,0.15689236217838098
Karnataka,Gadag,site_5419,svr,95.4062052847007,0.06215544174134657
Karnataka,Chamarajanagar,site_5124,svr,10.295283211231293,0.38311380450667654
Karnataka,Bengaluru,site_5678,svr,25.715763213317864,0.291844463686565
Karnataka,Raichur,site_5414,svr,12.797969362294978,0.692457414341936
Karnataka,Bengaluru,site_1553,svr,29.277478188907462,0.362604978728542
Karnataka,Kalaburagi,site_5679,svr,31.031443175040888,0.030490480684358667
Karnataka,Yadgir,site_5254,svr,12.11876780672233,0.6729910623450606
Karnataka,Bengaluru,site_1555,svr,13.244517028418674,0.58449087236934
Karnataka,Chikkaballapur,site_1557,svr,12.458593081309452,0.6990987900871379
Karnataka,Hubballi,site_5680,svr,22.644468354557045,0.17608673373415729
Karnataka,Bengaluru,site_1556,svr,44.302480410712626,0.18379597948407222
Punjab,Mandi Gobindgarh,site_255,svr,45.15234149770377,0.5677618904065248
Punjab,Patiala,site_1437,svr,26.338199908836362,0.5568044891368716
Punjab,Ludhiana,site_253,svr,34.56889537648539,0.4850110065073029
Punjab,Khanna,site_1450,svr,23.65668061303287,0.5430152572966963
Odisha,Brajrajnagar,site_1410,svr,22.716977823746724,0.7418529336447358
Odisha,Talcher,site_1408,svr,34.37892551142201,0.5369462657925912
Bihar,Chhapra,site_5545,svr,46.55961569478299,0.7120887219881505
Bihar,Bhagalpur,site_5541,svr,39.45175849693911,0.7002810205390095
Bihar,Aurangabad,site_5544,svr,29.0482714542336,0.7318697786744148
Bihar,Patna,site_5263,svr,47.68661868585611,0.605879389598488
Bihar,Rajgir,site_5489,svr,43.172743991111425,0.6910033605793624
Bihar,Bihar Sharif,site_5481,svr,54.555408390025754,0.5775660900310549
Bihar,Hajipur,site_5337,svr,41.274936404615644,0.36113932484227007
Bihar,Motihari,site_5478,svr,58.82185492564387,0.48563685098766207
Bihar,Patna,site_5336,svr,47.21232784388789,0.5705889525033996
Bihar,Bhagalpur,site_5543,svr,33.27184662890408,0.8134869036470167
Bihar,Manguraha,site_5550,svr,27.89450716123628,0.6218623337587621
Bihar,Bettiah,site_5476,svr,77.62769135394389,0.5159036209486252
Bihar,Purnia,site_5549,svr,45.59751386665895,0.779886194364962
Bihar,Gaya,site_5338,svr,23.26908800541542,0.49562845126209587
Bihar,Muzaffarpur,site_158,svr,119.92298954552828,0.005580122060279025
Bihar,Patna,site_5262,svr,29.09716818524839,0.8061278401446854
Bihar,Darbhanga,site_5477,svr,47.18596517585824,0.7639246686902628
Bihar,Gaya,site_5548,svr,50.20268208185732,0.6833139912415609
Bihar,Sasaram,site_5485,svr,25.948274977876697,0.8398893101689405
Bihar,Munger,site_5490,svr,65.47487206134055,0.4311027429427853
Bihar,Buxar,site_5542,svr,51.06499676888986,0.6039445934650252
Bihar,Begusarai,site_5540,svr,78.10015849902003,0.7625719204912995
Bihar,Muzaffarpur,site_5370,svr,41.74145185539087,0.6190441798763131
Bihar,Saharsa,site_5551,svr,54.130583508784504,0.6417890882213051
Bihar,Patna,site_5335,svr,35.36819343488011,0.631104166312028
Bihar,Kishanganj,site_5547,svr,40.56918775096146,0.7579308307997739
Bihar,Araria,site_5539,svr,34.92108969997674,0.7651404669483959
Bihar,Patna,site_157,svr,167.62517857139014,0.013753219737852262
Bihar,Siwan,site_5553,svr,54.90550070761658,0.7685922833878689
Bihar,Samastipur,site_5552,svr,47.07031414973363,0.7458731039162678
Bihar,Muzaffarpur,site_5479,svr,48.40767034233557,0.6608263335632465
Bihar,Patna,site_5261,svr,73.07087747799972,0.32403513879779355
Bihar,Katihar,site_5546,svr,53.463750560123515,0.7077259992686071
Bihar,Arrah,site_5538,svr,32.37359883757015,0.7753291103451092
Rajasthan,Jhunjhunu,site_5717,svr,16.585831659172953,0.3310678786642579
Rajasthan,Jodhpur,site_136,svr,43.81449755619458,0.4697132493935958
Rajasthan,Bhiwadi,site_1391,svr,54.64595771124378,0.5923378928798115
Rajasthan,Jodhpur,site_5720,svr,28.13507239243102,0.22600619053903015
Rajasthan,Dausa,site_5713,svr,20.36119519745949,0.30228045512989365
Rajasthan,Pali,site_1395,svr,28.66634808726545,0.501486507599405
Rajasthan,Pratapgarh,site_5721,svr,8.531068767943776,0.1529147162802882
Rajasthan,Alwar,site_1390,svr,36.92584210831916,0.26200035016625656
Rajasthan,Jhalawar,site_5724,svr,14.87963449435021,0.3039792604934112
Rajasthan,Jodhpur,site_5694,svr,35.01043141717156,0.32825434022576006
Rajasthan,Sirohi,site_5705,svr,10.975923698941106,0.5450634746906033
Rajasthan,Karauli,site_5723,svr,9.247743951246248,-0.09025382844709684
Rajasthan,Ajmer,site_1392,svr,34.58083321242957,0.29363635718706227
Rajasthan,Sri Ganganagar,site_5719,svr,49.655825806462225,0.18291066412400614
Rajasthan,Kota,site_5707,svr,27.718101156152937,0.634967164744936
Rajasthan,Bikaner,site_5696,svr,26.149980497816923,0.40357370456467023
Rajasthan,Kota,site_5701,svr,22.720544060779307,0.5370201123870695
Rajasthan,Sikar,site_5722,svr,20.519025321072924,0.2571014326879917
Rajasthan,Kota,site_1394,svr,25.8470089306589,0.5926953898070328
Rajasthan,Barmer,site_5714,svr,7.501715426001421,0.47011540323400625
Rajasthan,Bharatpur,site_5695,svr,29.539562203843392,0.6512196556398253
Rajasthan,Churu,site_5699,svr,28.541334509960635,0.1656158417896788
Rajasthan,Dholpur,site_5700,svr,49.4652226836825,-0.032666277002171284
Rajasthan,Rajsamand,site_5718,svr,16.852873314704013,-0.05897053631204696
Rajasthan,Jaipur,site_1393,svr,25.225171968816962,0.4915629171609871
Rajasthan,Jaipur,site_134,svr,31.979844081743785,0.5455089335364889
Rajasthan,Jaipur,site_1396,svr,44.86314879744644,0.2484022672825753
Rajasthan,Udaipur,site_1397,svr,23.103108491420286,0.5585242675855224
Uttar Pradesh,Agra,site_5463,svr,31.938012883992698,0.7233803971845246
Uttar Pradesh,Lucknow,site_297,svr,92.24072473845597,0.21329297393042324
Uttar Pradesh,Firozabad,site_5480,svr,41.68173594349413,0.7378852075634256
Uttar Pradesh,Varanasi,site_5469,svr,18.128103214587075,0.8037893471589079
Uttar Pradesh,Ghaziabad,site_5081,svr,50.35384311650253,0.7513982426325523
Uttar Pradesh,Baghpat,site_1569,svr,72.01054125702503,0.529783437600896
Uttar Pradesh,Meerut,site_5258,svr,37.57336549403943,0.7690104127919505
Uttar Pradesh,Agra,site_5465,svr,41.302816187427275,0.7388606776380537
Uttar Pradesh,Lucknow,site_5128,svr,52.512009420189386,0.275304485118564
Uttar Pradesh,Agra,site_5501,svr,49.12140269034372,0.6653879026656859
Uttar Pradesh,Moradabad,site_5556,svr,36.390103946424574,0.18570695072348564
Uttar Pradesh,Moradabad,site_1398,svr,63.260532336122466,0.6636126151562711
Uttar Pradesh,Lucknow,site_272,svr,64.5626373429198,0.17559691579080228
Uttar Pradesh,Varanasi,site_273,svr,102.94283963796533,0.2974993999237261
Uttar Pradesh,Varanasi,site_5468,svr,23.18175014388301,0.6386052872884436
Uttar Pradesh,Noida,site_153,svr,76.64199777078602,0.6137965786529257
Uttar Pradesh,Prayagraj,site_5484,svr,35.59060980051473,0.6477642229114879
