Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,28,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,27,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,26,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,31,25,30,28,28,28,31,31,30,31,30,29
2016,31,29,30,28,14,27,29,31,30,31,30,30
2015,31,28,31,28,31,30,31,25,30,31,30,31
2014,30,28,31,30,31,30,18,31,30,30,30,31
2013,6,28,28,25,31,29,31,31,29,31,10,31
2012,31,29,31,30,31,18,7,9,18,28,13,NA
2011,31,28,29,30,29,30,NA,NA,27,31,26,29
2010,30,28,29,26,31,30,31,31,30,30,30,25
