Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,30,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,30
2017,30,28,31,28,24,25,31,29,30,31,30,30
2016,31,28,31,30,16,21,30,31,28,31,30,30
2015,29,28,31,30,31,28,30,31,22,29,30,31
2014,31,27,26,30,28,30,31,31,30,31,30,17
2013,31,28,15,29,31,12,NA,NA,19,31,30,31
2012,31,29,31,29,31,30,31,31,30,31,30,31
2011,24,28,31,30,29,30,20,31,30,31,30,30
2010,31,28,31,30,29,27,31,31,30,31,30,28
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
