Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,30,28,31,27,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,25,24,31,30,30,28,31,31,28,31,30,31
2020,31,19,31,24,31,28,31,31,30,31,30,31
2019,31,27,30,26,23,30,30,31,30,31,30,31
2018,31,25,31,30,31,30,28,24,28,29,30,31
2017,30,28,31,30,29,24,29,31,28,31,30,31
2016,31,29,31,29,29,NA,NA,22,30,31,30,31
2015,NA,NA,NA,NA,NA,NA,NA,NA,13,31,30,30
