Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,29,28,31,29,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,28,31,17,31,28,31
2021,31,19,20,30,31,30,31,31,29,29,30,31
2020,27,NA,NA,NA,NA,NA,NA,1,NA,1,15,24
2019,30,28,31,30,30,30,30,29,30,31,27,16
2018,31,27,31,30,29,30,31,29,30,31,30,31
2017,2,28,30,30,29,28,31,31,30,31,29,31
2016,26,24,27,26,19,20,21,26,25,19,26,20
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,27
