Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,29,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,27,31,30,31,30,25,31,30,31,30,31
2021,31,28,31,30,31,30,31,29,30,30,30,31
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,19
2019,31,27,31,29,27,30,30,30,27,24,7,NA
2018,29,28,31,23,30,28,31,31,30,31,30,31
2017,16,28,23,23,30,27,28,29,26,30,30,31
2016,NA,NA,NA,NA,NA,2,1,13,29,31,25,25
