Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,30,30,31,30,31,31,30,31,22,31
2021,31,28,31,30,31,30,31,31,30,27,30,31
2020,31,29,31,30,25,30,31,31,29,31,30,31
2019,31,28,31,30,30,29,29,31,25,31,30,31
2018,31,28,29,30,31,30,31,31,30,31,30,31
2017,27,28,31,27,31,29,27,29,28,31,24,26
2016,30,28,31,30,31,14,29,29,25,27,29,31
2015,31,28,31,30,31,30,31,31,30,31,30,31
2014,27,28,29,30,31,30,31,31,16,28,26,31
2013,29,27,31,11,31,25,31,31,30,31,30,31
2012,31,29,31,29,27,28,30,31,30,31,28,31
2011,26,26,28,24,23,24,31,28,11,19,30,30
2010,31,28,29,28,31,25,31,30,30,31,3,22
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
