Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,NA,15,29,21,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,27,28,26,30,27,26,21,4,31,30,8
2021,28,28,29,27,23,30,24,28,28,27,28,30
2020,31,29,31,30,22,25,27,30,22,24,26,30
2019,31,28,30,26,31,27,31,30,25,29,28,31
2018,31,28,31,25,28,30,31,30,26,31,30,30
2017,31,28,31,30,31,29,31,30,30,31,30,31
2016,25,26,29,30,31,28,22,21,28,31,30,31
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30
