id,name,latitude,longitude
site_276,"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863
site_277,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541
site_292,"Karve Road, Pune - MPCB",18.5011743,73.8165527
site_294,"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152
site_295,"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086
site_296,"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669
site_297,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361
site_298,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437
site_299,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225
site_300,"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737
site_301,"Anand Vihar, Delhi - DPCC",28.647622,77.315809
site_302,"Solapur, Solapur - MPCB",17.6599188,75.9063906
site_303,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531
site_304,"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427
site_305,"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188
site_306,"Manali, Chennai - CPCB",13.164544,80.26285
site_307,"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056
site_308,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912
site_309,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691
site_1390,"Moti Doongri, Alwar - RSPCB",27.554793,76.611536
site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296
site_1392,"Civil Lines,  Ajmer - RSPCB",26.470859,74.646594
site_1393,"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858
site_1394,"Shrinath Puram, Kota - RSPCB",25.14389,75.821256
site_1395,"Indira Colony Vistar, Pali - RSPCB",25.771061,73.340227
site_1396,"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943
site_1397,"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397
site_1398,"Lajpat Nagar, Moradabad - UPPCB",28.825341,78.7213009
site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176
site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",23.182719,75.768218
site_1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB",24.10897,82.64558
site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428
site_1404,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118
site_1405,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145
site_1406,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667
site_1408,"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021
site_1410,"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977
site_1416,"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276
site_1418,"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968
site_1419,"Ward-32 Bapupara, Siliguri - WBPCB",26.6883049,88.412668
site_1420,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484
site_1422,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006
site_1423,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633
site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738
site_1426,"Narela, Delhi - DPCC",28.822836,77.101981
site_1427,"Najafgarh, Delhi - DPCC",28.570173,76.933762
site_1428,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
site_1429,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
site_1430,"Rohini, Delhi - DPCC",28.732528,77.11992
site_1431,"Patparganj, Delhi - DPCC",28.623763,77.287209
site_1432,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
site_1434,"Wazirpur, Delhi - DPCC",28.699793,77.165453
site_1435,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526
site_1437,"Model Town, Patiala - PPCB",30.349388,76.366642
site_1438,"Civil Line, Jalandhar - PPCB",31.321907,75.578914
site_1447,"Deshpande Nagar, Hubballi - KSPCB",15.351773,75.140726
site_1450,"Kalal Majra, Khanna - PPCB",30.736056,76.209694
site_1538,"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046
site_1541,"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482
site_1542,"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831
site_1550,"New Mandi, Muzaffarnagar - UPPCB",29.4723508,77.7194031
site_1551,"Tamaka Ind. Area, Kolar - KSPCB",13.1276288,78.1570122
site_1553,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784
site_1554,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901
site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908
site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418
site_1558,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813
site_1560,"Bawana, Delhi - DPCC",28.7762,77.051074
site_1561,"Mundka, Delhi - DPCC",28.684678,77.076574
site_1562,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
site_1563,"Pusa, Delhi - DPCC",28.639645,77.146262
site_1569,"New Collectorate, Baghpat - UPPCB",28.974801,77.213357
site_5023,"Anand Vihar, Hapur - UPPCB",28.725645,77.749675
site_5024,"Alipur, Delhi - DPCC",28.815329,77.15301
site_5025,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944
site_5040,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246
site_5041,"Murthal, Sonipat - HSPCB",29.0272,77.0621
