Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,29,28,31,20,29,30,31,31,30,31,30,31
2021,31,28,29,30,31,30,30,31,30,25,30,30
2020,31,29,31,30,31,30,31,31,30,31,28,28
2019,31,28,31,30,26,30,31,31,30,31,30,31
2018,31,27,31,14,10,6,6,10,30,31,30,31
2017,31,28,31,30,31,30,31,28,30,31,30,31
2016,29,29,31,30,31,17,28,31,27,30,30,14
2015,31,28,31,30,31,30,31,31,29,31,30,28
2014,23,18,27,30,31,30,29,27,30,29,28,31
2013,11,15,18,26,31,30,28,23,7,23,29,31
2012,14,20,18,22,16,5,7,31,23,31,27,18
2011,17,28,31,30,26,21,29,31,30,19,4,NA
2010,31,28,31,30,24,26,31,19,30,31,21,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
