,S.No.,State,City,Station Name,Current AQI value
69,70,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",Insufficient data available in last 24 hours.
70,71,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",Insufficient data available in last 24 hours.
71,72,Delhi,Delhi,"Alipur, Delhi - DPCC",292
72,73,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",294
73,74,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",285
74,75,Delhi,Delhi,"Aya Nagar, Delhi - IMD",134
75,76,Delhi,Delhi,"Bawana, Delhi - DPCC",292
76,77,Delhi,Delhi,"Burari Crossing, Delhi - IMD",290
77,78,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",290
78,79,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",217
79,80,Delhi,Delhi,"DTU, Delhi - CPCB",281
80,81,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",260
81,82,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",252
82,83,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",145
83,84,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",190
84,85,Delhi,Delhi,"ITO, Delhi - CPCB",225
85,86,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",303
86,87,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",250
87,88,Delhi,Delhi,"Lodhi Road, Delhi - IITM",Insufficient data available in last 24 hours.
88,89,Delhi,Delhi,"Lodhi Road, Delhi - IMD",190
89,90,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",284
90,91,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",254
91,92,Delhi,Delhi,"Mundka, Delhi - DPCC",284
92,93,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",257
93,94,Delhi,Delhi,"Najafgarh, Delhi - DPCC",136
94,95,Delhi,Delhi,"Narela, Delhi - DPCC",291
95,96,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",319
96,97,Delhi,Delhi,"North Campus, DU, Delhi - IMD",227
97,98,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",277
98,99,Delhi,Delhi,"Patparganj, Delhi - DPCC",298
99,100,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",297
100,101,Delhi,Delhi,"Pusa, Delhi - DPCC",313
101,102,Delhi,Delhi,"Pusa, Delhi - IMD",214
102,103,Delhi,Delhi,"R K Puram, Delhi - DPCC",258
103,104,Delhi,Delhi,"Rohini, Delhi - DPCC",320
104,105,Delhi,Delhi,"Shadipur, Delhi - CPCB",270
105,106,Delhi,Delhi,"Sirifort, Delhi - CPCB",229
106,107,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",298
107,108,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",251
108,109,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",309
109,110,Delhi,Delhi,"Wazirpur, Delhi - DPCC",Insufficient data available in last 24 hours.
110,111,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",Insufficient data available in last 24 hours.
111,112,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",Insufficient data available in last 24 hours.
112,113,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",127
113,114,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",Insufficient data available in last 24 hours.
114,115,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",Insufficient data available in last 24 hours.
115,116,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",Insufficient data available in last 24 hours.
116,117,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",Insufficient data available in last 24 hours.
117,118,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Insufficient data available in last 24 hours.
118,119,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Insufficient data available in last 24 hours.
119,120,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",134
120,121,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",Insufficient data available in last 24 hours.
121,122,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",Insufficient data available in last 24 hours.
122,123,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",88
123,124,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",41
124,125,Gujarat,Surat,"Science Center, Surat - SMC",207
125,126,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",304
126,127,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",122
127,128,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",138
128,129,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",97
129,130,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",245
130,131,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",103
131,132,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",156
132,133,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",240
133,134,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",Insufficient data available in last 24 hours.
134,135,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",163
135,136,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",Insufficient data available in last 24 hours.
136,137,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",257
137,138,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",138
138,139,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",110
139,140,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",191
140,141,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",211
141,142,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",227
142,143,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",Insufficient data available in last 24 hours.
143,144,Haryana,Jind,"Police Lines, Jind - HSPCB",148
144,145,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",135
145,146,Haryana,Karnal,"Sector-12, Karnal - HSPCB",105
146,147,Haryana,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",105
147,148,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",83
148,149,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",164
149,150,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",111
150,151,Haryana,Palwal ,"Shyam Nagar, Palwal - HSPCB",45
151,152,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",207
152,153,Haryana,Panipat,"Sector-18, Panipat - HSPCB",139
153,154,Haryana,Rohtak,"MD University, Rohtak - HSPCB",97
154,155,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",160
155,156,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",131
156,157,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",221
157,158,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",311
158,159,Jammu and Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",Insufficient data available in last 24 hours.
159,160,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",Insufficient data available in last 24 hours.
160,161,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",42
161,162,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",117
162,163,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",51
163,164,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Insufficient data available in last 24 hours.
164,165,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",142
165,166,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",Insufficient data available in last 24 hours.
166,167,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",83
167,168,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",78
168,169,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",81
169,170,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",99
170,171,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",124
171,172,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",Insufficient data available in last 24 hours.
172,173,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",Insufficient data available in last 24 hours.
173,174,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",85
174,175,Karnataka,Bidar,"Naubad, Bidar - KSPCB",83
175,176,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",38
176,177,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",121
177,178,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",42
178,179,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",73
179,180,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",Insufficient data available in last 24 hours.
180,181,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",64
181,182,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB",77
182,183,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",66
183,184,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",106
184,185,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",100
185,186,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",104
186,187,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Insufficient data available in last 24 hours.
187,188,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",Insufficient data available in last 24 hours.
188,189,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",Insufficient data available in last 24 hours.
189,190,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",41
190,191,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",67
191,192,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",57
192,193,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB",Insufficient data available in last 24 hours.
193,194,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",94
194,195,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",57
195,196,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",201
196,197,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB",Insufficient data available in last 24 hours.
197,198,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",53
198,199,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",Insufficient data available in last 24 hours.
199,200,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",Insufficient data available in last 24 hours.
200,201,Kerala,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",Insufficient data available in last 24 hours.
201,202,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",74
202,203,Kerala,Kochi,"Vyttila, Kochi - Kerala PCB",115
203,204,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",99
204,205,Kerala,Kozhikode,"Palayam, Kozhikode - Kerala PCB",Insufficient data available in last 24 hours.
205,206,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",Insufficient data available in last 24 hours.
206,207,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",59
207,208,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",100
208,209,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",164
209,210,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",204
210,211,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",54
211,212,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",158
212,213,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",Insufficient data available in last 24 hours.
213,214,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",383
214,215,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",364
215,216,Madhya Pradesh,Gwalior,"Phool Bagh, Gwalior - Mondelez Ind. Food",Insufficient data available in last 24 hours.
216,217,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",132
217,218,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",174
218,219,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",250
219,220,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",84
220,221,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",97
221,222,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",186
222,223,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",138
223,224,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",247
224,225,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",50
225,226,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",80
226,227,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",Insufficient data available in last 24 hours.
227,228,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",Insufficient data available in last 24 hours.
228,229,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",100
229,230,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",244
230,231,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",117
231,232,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",139
232,233,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",226
233,234,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",Insufficient data available in last 24 hours.
234,235,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",Insufficient data available in last 24 hours.
235,236,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",Insufficient data available in last 24 hours.
236,237,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",181
237,238,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",142
238,239,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",107
239,240,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",258
240,241,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",124
241,242,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",97
242,243,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",189
243,244,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",131
244,245,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",Insufficient data available in last 24 hours.
245,246,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",116
246,247,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",164
247,248,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",143
248,249,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",88
249,250,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",139
250,251,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",120
251,252,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",165
252,253,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",106
253,254,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",115
