,S.No.,State,City,Station Name,Current AQI value
318,319,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",177
319,320,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",94
320,321,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",Insufficient data available in last 24 hours.
321,322,Tamil Nadu,Chennai,"Kodungaiyur, Chennai - TNPCB",98
322,323,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",Insufficient data available in last 24 hours.
323,324,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",81
324,325,Tamil Nadu,Chennai,"Perungudi, Chennai - TNPCB",117
325,326,Tamil Nadu,Chennai,"Royapuram, Chennai - TNPCB",90
326,327,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",74
327,328,Tamil Nadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",Insufficient data available in last 24 hours.
328,329,Tamil Nadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",78
329,330,Tamil Nadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",232
330,331,Tamil Nadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",146
331,332,Tamil Nadu,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",131
332,333,Tamil Nadu,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",Insufficient data available in last 24 hours.
333,334,Tamil Nadu,Ooty,"Bombay Castel, Ooty - TNPCB",69
334,335,Tamil Nadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",45
335,336,Tamil Nadu,Salem,"Sona College of Technology, Salem - TNPCB",70
336,337,Tamil Nadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",Insufficient data available in last 24 hours.
337,338,Tamil Nadu,Tirupur,"Kumaran College, Tirupur - TNPCB",70
338,339,Tamil Nadu,Vellore,"Vasanthapuram, Vellore - TNPCB",Insufficient data available in last 24 hours.
339,340,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
340,341,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",100
341,342,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",69
342,343,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",126
343,344,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",128
344,345,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",69
345,346,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",93
346,347,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",80
347,348,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
348,349,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",89
349,350,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",69
350,351,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",133
351,352,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",114
352,353,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
353,354,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",332
354,355,Tripura,Agartala,"Kunjaban, Agartala - Tripura SPCB",136
355,356,Uttar Pradesh,Agra,"Manoharpur, Agra - UPPCB",67
356,357,Uttar Pradesh,Agra,"Rohta, Agra - UPPCB",74
357,358,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",77
358,359,Uttar Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",83
359,360,Uttar Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",Insufficient data available in last 24 hours.
360,361,Uttar Pradesh,Agra,"Shastripuram, Agra - UPPCB",80
361,362,Uttar Pradesh,Baghpat,"New Collectorate, Baghpat - UPPCB",Insufficient data available in last 24 hours.
362,363,Uttar Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",269
363,364,Uttar Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",128
364,365,Uttar Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",108
365,366,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",222
366,367,Uttar Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",69
367,368,Uttar Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",81
368,369,Uttar Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",138
369,370,Uttar Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",225
370,371,Uttar Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",213
371,372,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",259
372,373,Uttar Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",201
373,374,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",258
374,375,Uttar Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",220
375,376,Uttar Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",110
376,377,Uttar Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",223
377,378,Uttar Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",146
378,379,Uttar Pradesh,Kanpur,"IITK, Kanpur - IITK",292
379,380,Uttar Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",133
380,381,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",200
381,382,Uttar Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",156
382,383,Uttar Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",258
383,384,Uttar Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",192
384,385,Uttar Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",289
385,386,Uttar Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",179
386,387,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",351
387,388,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",317
388,389,Uttar Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",154
389,390,Uttar Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",175
390,391,Uttar Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",156
391,392,Uttar Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",101
392,393,Uttar Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",111
393,394,Uttar Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",104
394,395,Uttar Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",112
395,396,Uttar Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",121
396,397,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",Insufficient data available in last 24 hours.
397,398,Uttar Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",132
398,399,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",333
399,400,Uttar Pradesh,Noida,"Sector - 125, Noida - UPPCB",136
400,401,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",249
401,402,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",207
402,403,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",260
403,404,Uttar Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",185
404,405,Uttar Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",151
405,406,Uttar Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",159
406,407,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",113
407,408,Uttar Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",106
408,409,Uttar Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",85
409,410,Uttar Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",120
410,411,Uttar Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",Insufficient data available in last 24 hours.
411,412,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",268
412,413,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",Insufficient data available in last 24 hours.
413,414,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",Insufficient data available in last 24 hours.
414,415,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",341
415,416,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",172
416,417,West Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",111
417,418,West Bengal,Howrah,"Belur Math, Howrah - WBPCB",258
418,419,West Bengal,Howrah,"Ghusuri, Howrah - WBPCB",335
419,420,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",290
420,421,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",269
421,422,West Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",314
422,423,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB",160
423,424,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",252
424,425,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",319
425,426,West Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",207
426,427,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",303
427,428,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",242
