Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,27,27,31,30,30,31,30,31
2021,31,28,18,30,31,30,31,31,30,31,30,31
2020,31,29,30,30,25,NA,5,24,21,NA,26,31
2019,31,28,30,30,31,30,31,30,29,31,30,31
2018,31,28,31,24,31,28,30,31,30,31,30,31
2017,28,20,28,30,31,30,14,NA,NA,4,30,24
2016,31,29,31,30,31,24,10,31,30,31,30,31
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30
