Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,12,19,31,30,31,29,31,31,30,30,29,25
2021,31,28,31,29,31,30,20,24,29,28,29,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,30,28,31,30,31,16,NA,21,30,31,30,31
2018,30,28,31,29,31,30,23,25,30,31,30,29
2017,30,28,31,27,27,21,8,5,12,31,30,31
2016,29,29,26,28,28,29,29,31,30,31,30,31
2015,NA,NA,NA,NA,NA,NA,NA,NA,13,20,30,31
