Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,25,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,29,31,31,30,27,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,30,30,31,30,31
2018,31,28,31,30,31,30,31,29,30,31,30,31
2017,31,28,31,30,30,30,27,29,30,31,30,31
2016,30,25,NA,18,30,28,26,30,29,31,30,31
2015,31,28,31,30,22,NA,NA,NA,NA,NA,22,30
2014,31,28,31,29,30,24,31,31,30,31,30,31
2013,31,28,31,30,31,29,31,31,30,31,28,31
2012,31,29,31,26,30,30,26,24,30,29,30,31
2011,31,28,31,30,30,28,31,31,21,31,30,30
2010,30,28,6,NA,21,30,31,31,30,31,30,30
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
