Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,29,30,31,30,31
2019,31,28,30,30,31,30,31,31,30,31,30,31
2018,31,28,31,28,31,30,31,31,30,31,30,31
2017,29,26,22,19,31,30,31,31,30,31,30,30
2016,31,29,29,26,29,29,31,30,30,31,30,31
2015,NA,NA,NA,24,31,30,31,31,29,29,30,24
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,30,26,11,18,NA,NA,NA,NA,NA,NA,NA,NA
2012,21,24,28,28,27,NA,20,30,24,29,28,30
2011,NA,NA,NA,9,25,25,26,1,23,28,2,NA
