Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,26,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,29,31,30,31
2021,31,28,31,30,31,30,15,31,30,31,30,31
2020,31,29,31,30,31,30,15,15,30,31,30,31
2019,27,27,31,30,10,17,31,31,30,29,30,31
2018,31,28,31,17,31,26,31,31,30,31,30,31
2017,1,NA,NA,NA,NA,NA,NA,1,26,31,30,31
2016,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1
2015,NA,NA,NA,1,1,NA,NA,NA,30,31,30,2
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,10,27,27,NA,NA,3,NA,NA,NA,NA,1
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
