Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,28,31,31,30,31,30,31
2017,23,28,31,30,31,30,31,25,30,31,30,31
2016,30,29,26,30,22,18,31,29,17,NA,26,26
2015,31,27,31,30,31,29,28,29,29,31,30,31
2014,31,28,31,30,30,29,29,31,29,30,30,31
2013,31,28,29,30,26,30,31,30,30,31,30,31
2012,31,28,23,27,27,30,31,31,27,19,21,29
2011,31,28,31,30,28,30,31,29,30,31,30,29
2010,28,28,31,29,31,29,31,31,30,31,30,31
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
