Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,30,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,27,30,31,30,31,31,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,31
2017,29,26,31,29,31,30,31,28,30,31,30,30
2016,27,29,26,19,28,30,25,NA,5,31,30,31
2015,NA,NA,NA,22,31,30,31,30,30,28,30,24
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,30,20,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2012,21,24,28,28,24,NA,20,30,24,29,28,30
2011,NA,NA,NA,9,29,26,26,1,21,28,2,NA
