Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,30,31,30,31
2020,31,29,31,29,27,30,31,30,30,31,30,31
2019,31,28,31,30,31,30,31,31,30,30,30,31
2018,31,28,31,30,30,29,31,31,30,31,30,31
2017,29,26,31,19,6,8,NA,NA,NA,14,29,26
2016,31,29,29,22,28,30,31,27,30,30,30,31
2015,NA,NA,NA,24,27,30,31,30,30,26,30,24
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,29,26,11,18,NA,NA,NA,NA,NA,NA,NA,NA
2012,21,24,28,27,25,NA,21,31,24,29,28,31
2011,NA,NA,NA,8,29,26,26,1,23,28,2,NA
