Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,27,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,28,31,30,31,17,31,31,11,17,29,31
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30,31
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,31,27,31,27,31,30,31,31,30,31,30,13
2018,31,28,31,30,13,NA,NA,23,27,22,26,31
2017,1,NA,NA,NA,NA,NA,NA,1,28,31,30,30
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2012,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA
2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,1,NA,NA,NA,NA,NA,17,1,NA,1
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
