Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,28,24,20,21,NA,NA,NA,NA,NA,NA,NA,NA
2022,30,28,31,28,25,30,27,30,27,31,30,31
2021,31,28,31,30,29,30,30,25,14,30,29,31
2020,31,29,31,26,31,26,31,29,28,31,30,30
2019,31,28,31,30,31,30,18,31,28,31,30,31
2018,31,28,31,30,31,29,30,31,28,30,30,30
2017,31,26,31,28,31,30,16,18,28,31,30,30
2016,NA,NA,NA,NA,NA,NA,NA,9,30,31,30,31
