Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,13,22,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,11,5,NA,25,10,12,25,24,17,16,4
2021,30,28,27,21,3,29,16,29,30,27,28,12
2020,31,29,31,30,31,24,31,31,25,12,15,31
2019,31,28,31,30,30,30,31,31,30,31,30,31
2018,31,28,31,30,31,30,31,31,30,31,30,29
2017,31,28,31,30,31,30,31,31,30,31,30,31
2016,31,29,31,30,31,30,31,31,30,31,30,31
2015,NA,NA,NA,NA,NA,27,31,31,30,31,30,30
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,25,28,31,19,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,4,29,26,NA,18,31,23,27,20,31
2011,28,22,21,30,30,17,18,31,29,2,NA,NA
2010,1,26,3,NA,NA,7,30,2,30,28,28,27
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
