Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,27,27,31,30,31,30,31,31,30,31,30,31
2021,31,28,31,30,31,30,31,31,24,31,30,31
2020,31,28,27,30,31,30,31,30,30,31,30,31
2019,31,28,31,30,24,30,31,30,30,31,30,31
2018,31,28,31,30,31,27,31,31,29,31,30,31
2017,31,28,31,30,31,30,31,31,30,31,30,31
2016,NA,NA,2,29,31,27,24,31,30,28,30,31
