Year,January,February,March,April,May,June,July,August,September,October,November,December
2023,31,28,31,28,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,24,31,29,30,29,31,30,30,31,30,29
2021,29,25,28,25,25,25,30,23,21,29,25,31
2020,24,29,27,30,31,29,26,11,23,22,30,31
2019,24,28,31,30,31,30,27,21,30,31,29,31
2018,31,25,26,30,31,30,31,31,16,31,30,30
2017,31,28,31,30,31,30,31,31,30,31,21,24
2016,31,29,31,26,30,30,31,31,30,31,30,31
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31
